name,postcode,category,review_count,rating,price,distance,latitude,longitude
Macbar et Fromage,H2L 1R8,Bars,44.0,4.0,$$,976.1680985731659,45.52689,-73.57264
Maison Oflore,H2L 1A8,Cocktail Bars,8.0,4.5,,572.5902076533605,45.52689,-73.57264
Darling,H2W 1Z3,Bars,109.0,4.0,$$,1262.4984274298722,45.52689,-73.57264
Projet Pilote,H2J 2J3,Bars,3.0,5.0,,253.01732750749477,45.52689,-73.57264
L'Gros Luxe Plateau,H2L 1A5,Cocktail Bars,42.0,3.5,$$,633.9059980377505,45.52689,-73.57264
Grenade,H2L 1S5,Bars,54.0,4.0,$$,987.0367068570125,45.52689,-73.57264
Le Royal,H2J 1Y1,Cocktail Bars,10.0,4.0,,483.44645439540307,45.52689,-73.57264
Chez Baptiste,H2J 1X7,Bars,19.0,3.5,$,555.0055992491442,45.52689,-73.57264
Antipode,H2J 1H9,Bars,10.0,4.5,,1175.368463337916,45.52689,-73.57264
Bar Plan B,H2T 1P8,Cocktail Bars,36.0,3.5,$$,954.1160246560124,45.52689,-73.57264
BEVO Bar + Pizzeria,H2Y 3A6,Bars,388.0,4.0,$$,144.82460241431326,45.50714391928411,-73.55511903762817
The Keg Steakhouse + Bar - Montreal,H2Y 1G2,Bars,234.0,4.0,$$$,165.95790880093296,45.50714391928411,-73.55511903762817
Pincette,H2Y 1G6,Wine Bars,36.0,4.5,$$$,179.85209291445886,45.50714391928411,-73.55511903762817
Un Po' Di Più,H2Y 0B1,Bars,60.0,4.5,,226.21028938297485,45.50714391928411,-73.55511903762817
The Coldroom,H2Y 1G8,Cocktail Bars,237.0,4.5,$$,153.62738955610445,45.50714391928411,-73.55511903762817
Jacopo,H2Y 3B3,Cocktail Bars,83.0,4.0,,158.75627969689913,45.50714391928411,-73.55511903762817
Barroco,H2Y 2A3,Cocktail Bars,297.0,4.5,$$$,641.6375771202054,45.50714391928411,-73.55511903762817
Maison Saint-Paul,H2Y 1H2,Champagne Bars,99.0,4.5,$$$,343.59441923152747,45.50714391928411,-73.55511903762817
Wolf & Workman,H2Y 1Z3,Bars,114.0,4.5,$$,376.87448318042624,45.50714391928411,-73.55511903762817
Les 3 Brasseurs,H2Y 1G7,Bars,220.0,3.5,$$,164.34073812132283,45.50714391928411,-73.55511903762817
El Pequeño Bar,H2Y 3A4,Cocktail Bars,28.0,4.5,,153.77166779837864,45.50714391928411,-73.55511903762817
Holder,H2Y 2G3,Bars,369.0,4.0,$$$,757.1813616677327,45.50714391928411,-73.55511903762817
NYK'S,H3B 2W4,Tapas Bars,185.0,4.0,$$,909.7510135274118,45.50714391928411,-73.55511903762817
Joverse,H2Y 1L2,Bars,55.0,3.5,$$,249.26401553457887,45.50714391928411,-73.55511903762817
Cadet,H2X 2S8,Bars,113.0,4.5,$$$,805.133874928745,45.50714391928411,-73.55511903762817
Philemon Bar,H2Y 1Z4,Wine Bars,71.0,3.5,$$,227.81016228314957,45.50714391928411,-73.55511903762817
Méchant Bœuf Bar & Brasserie,H2Y 1Z3,Cocktail Bars,182.0,3.5,$$$,367.05193404126936,45.50714391928411,-73.55511903762817
Perché,H2Y 1E7,Cocktail Bars,42.0,3.5,$$$,150.90885416124289,45.50714391928411,-73.55511903762817
Terrasse William Gray,H2Y 3A6,Bars,59.0,3.5,$$$,134.92526027591194,45.50714391928411,-73.55511903762817
Salumi Vino,H2Y 1C7,Wine Bars,41.0,4.0,$$$,370.79845915465006,45.50714391928411,-73.55511903762817
Terrasse 67,H3C,Bars,2.0,3.5,,943.6682220843079,45.5063732,-73.52457672
Brasserie le Manoir,H4B 1V8,Sports Bars,8.0,2.0,,916.1653901667617,45.45750908083069,-73.6394852399826
Les Street Monkeys,H4G 1T9,Cocktail Bars,69.0,4.5,$$,593.0036502071989,45.47256100297732,-73.56998920440674
Atwater Cocktail Club,H4C 2G5,Cocktail Bars,116.0,4.5,$$,1176.5686496157728,45.47256100297732,-73.56998920440674
Palco,H4G 1V6,Bars,38.0,4.5,$$,1025.5636097997499,45.47256100297732,-73.56998920440674
Canal Lounge,H4C 3L8,Cocktail Bars,28.0,4.5,$$,792.0371961202367,45.47256100297732,-73.56998920440674
La Conceria,H4C 1P4,Wine Bars,8.0,4.0,,1142.9635201452318,45.47256100297732,-73.56998920440674
Social Verdun,H4G 1V1,Bars,20.0,3.5,,807.5306169353497,45.47256100297732,-73.56998920440674
Shushuto,H3K 1B9,Tapas Bars,2.0,5.0,,787.4211901362221,45.47256100297732,-73.56998920440674
Le Porto Lounge,H4C 1P7,Cocktail Bars,1.0,4.0,,1165.4704310995453,45.47256100297732,-73.56998920440674
Green Gazoline Burger,H4C 1P2,Bars,2.0,4.5,,1129.728175201706,45.47256100297732,-73.56998920440674
Capri Bar - Serie,H3K 1X8,Sports Bars,2.0,4.0,$,583.0999134714762,45.47256100297732,-73.56998920440674
La Chic Régal,H3K,Dive Bars,7.0,3.0,$,657.8143487018976,45.47256100297732,-73.56998920440674
Bar Billard Notre Dame,H4C 1P3,Bars,3.0,2.0,,1160.4974255732527,45.47256100297732,-73.56998920440674
Le Petit Flore,H2C 1P9,Wine Bars,10.0,4.0,$$,666.916445437503,45.5534000891078,-73.66225451231003
Les Cavistes,H3L 1T5,Wine Bars,13.0,4.0,$$,906.430423913063,45.5534000891078,-73.66225451231003
