cb_station_id,cb_station_name,cb_latitude,cb_longitude,cb_bike_num
7b71605bd83572e8804e860f434f1055,Parc Grovehill (St-Antoine / Ivan-Franko),45.43982382100397,-73.69487822055817,15
10a32e00bc65e9fb33eef10d6e3e75e9,Bibliothèque Jean-Corbeil (Goncourt / Place Montrichard),45.6027276,-73.5579303,11
79817ddade43d27901df8f29feaebc39,Aréna Chaumont (Chaumont / des Ormeaux),45.610926628992026,-73.54673445224762,19
a75f61cc35fc749366c8e6ef816fb8a0,Parc Chamberland (Dorais / de l'Église),45.502989,-73.689113,19
abd3530a2acf6d587950005b613d40cb,Parc Summerlea (53e avenue / St-Joseph),45.43836713933041,-73.71546685695648,15
b77888871c6837a551022c5c739042ac,Parc Kirkland (des Érables / Boyer),45.44606092178209,-73.65079946815968,15
5782e71fd4ba8263a67de59b093dc320,William / Robert-Bourassa,45.49716534003792,-73.55933010578154,21
d8bf2d80c73cf09dbfd6b7f76d063424,Quai de la navette fluviale,45.51366626207095,-73.53842496871948,19
d0fc3a82ee0af511ffda9618f1263b84,Lapierre / Serge,45.43854405099729,-73.62021625041962,15
efd89dd6cc7db7e7ea67a4ccb75372a1,Parc St-Louis (St-Joseph / 34e avenue),45.432839840726125,-73.69349151849747,23
4e1cd6aa776d6e4078886c39f454b29f,Victoria / 18e avenue Lachine,45.43579350588776,-73.6801904439926,15
d9fdeeb4d94f016bff5cd776466d6a30,Métro Jolicoeur (de Sève / Drake),45.45608545783109,-73.58193710446358,19
ab865ab695ca69089498736e6bac9a16,Duchesneau / de Marseille,45.60962627826218,-73.52273898082785,19
a0166a9345b73dbd0b09f883e665a8f8,Papineau / Émile-Journault,45.55988367688166,-73.63356828689575,35
c91d47b7a498fe1a3016800f0678f419,LaSalle / Godin,45.44693448484644,-73.57219934463501,27
ab65f5f1207275299c5d897fa65e1347,Parc Delorme (Malouin / Laferté),45.5904902,-73.5902694,19
f95ae94bbf8d2dd56d009f8bbf21044a,Parc Luigi-Pirandello (de Bretagne / Jean-Rivard),45.57940569041942,-73.60258877277374,15
b43e650c8729a68e3a7858fbfbe57cbf,Parc Beaulac (rue Élizabeth),45.5200557245067,-73.67795147001743,15
5b9ad55443ed6b09dfdee5336b56b41b,Parc St-Laurent (Dutrisac),45.52591381815231,-73.68911147117615,19
bfc27d829d7ce8c0f9e55b1cab901cbb,CHSLD St-Michel (8e avenue / Jarry),45.5616903,-73.610512,15
ab80e2f4c922bcac89121cb2d46a0ee4,Travaux publics LaSalle (Cordner / Léger),45.44527192876118,-73.62448364496231,15
ac023980748426fdbb7ea233b5043dc6,Parc de Dieppe,45.501863463435576,-73.5439610481262,35
a2da7f5b772dab9f756348a7f21c1984,Terminus Newman (Airlie / Lafleur),45.425059666150744,-73.64959917962551,19
4e0a2eec48ee705304b2799cff6fc240,Newman / Senkus,45.44404309237571,-73.61375212669373,19
7214c61eb7f8d875d6db8db935ad16ea,Smith / Peel,45.49276061084002,-73.55641052126883,19
918f32736e8c298b4c7a5a58f6e46da5,de la Commune / King,45.49750375338383,-73.55284452438353,71
0a3aa715457ea0c777ddd396228eafd1,de la Commune / Place Jacques-Cartier,45.50761009451047,-73.55183601379395,81
d5193bc68b01855a79fd8c694ef2e2f9,de la Commune / St-Sulpice,45.50424245563397,-73.553469479084,43
1ff33fd73e2add3c30fcd821850dccd3,Chabanel / du Parc,45.53830765459552,-73.6548838019371,30
31c3024050ee6f3e44c85eceae251db1,Ottawa / William,45.48972725318433,-73.56406286358833,15
