cb_station_id,cb_station_name,cb_latitude,cb_longitude,cb_bike_num,name,postcode,category,distance,review_count,rating,cb_name_count,price_level
6832a18f263cc93c01c71013a19baa8f,St-Charles / Montarville,45.53368199320325,-73.51526074111462,10,La Distillerie No.4,J4H 1C7,Cocktail Bar,796.0,44.0,4.0,5,2
6832a18f263cc93c01c71013a19baa8f,St-Charles / Montarville,45.53368199320325,-73.51526074111462,10,Brasserie Tremblay,J4H 3H9,Bar,976.0,44.0,4.0,5,2
04840a5047543df6a5ff4f78ccc64a04,Collège Édouard-Montpetit (de Gentilly / de Normandie),45.53722603812578,-73.49506705999374,14,Joker Pub Ludique Longueuil,J4J 3W6,Pub,587.0,44.0,4.0,5,2
04840a5047543df6a5ff4f78ccc64a04,Collège Édouard-Montpetit (de Gentilly / de Normandie),45.53722603812578,-73.49506705999374,14,Brasserie Tremblay,J4H 3H9,Bar,700.0,44.0,4.0,5,2
04840a5047543df6a5ff4f78ccc64a04,Collège Édouard-Montpetit (de Gentilly / de Normandie),45.53722603812578,-73.49506705999374,14,Le 1286,J4J 3W6,Gay Bar,743.0,44.0,4.0,5,2
04840a5047543df6a5ff4f78ccc64a04,Collège Édouard-Montpetit (de Gentilly / de Normandie),45.53722603812578,-73.49506705999374,14,Tastea,J4J 3X1,Bar,786.0,44.0,4.0,5,2
04840a5047543df6a5ff4f78ccc64a04,Collège Édouard-Montpetit (de Gentilly / de Normandie),45.53722603812578,-73.49506705999374,14,Resto Bar le Surf,J4J 3X3,Bar,852.0,44.0,4.0,5,2
2a20aa1c87cc30a2968fe04fe4e5b0df,Place Longueuil,45.52841043752244,-73.51716578006744,4,Brasserie du Passant Inc,J4K 2T4,Bar,507.0,44.0,4.0,2,2
2a20aa1c87cc30a2968fe04fe4e5b0df,Place Longueuil,45.52841043752244,-73.51716578006744,4,Taverne Renaud,J4K 1C9,Bar,596.0,44.0,4.0,2,2
734e36f9bfc759c9c5b1b9b44a85966e,Place du Commerce,45.46714,-73.54259,18,Suite 903,H3E 2A5,Speakeasy,548.0,44.0,4.0,1,2
65f5707d61306518123222b4680bc282,Marché Maisonneuve,45.55321884238814,-73.53978216648102,6,Madame Smith,H1W 1T3,Lounge,370.0,5.0,3.5,10,2
65f5707d61306518123222b4680bc282,Marché Maisonneuve,45.55321884238814,-73.53978216648102,6,L'Espace Public-Brasseurs de Quartier,H1W 1R7,Bar,926.0,44.0,4.0,10,2
65f5707d61306518123222b4680bc282,Marché Maisonneuve,45.55321884238814,-73.53978216648102,6,Le Blind Pig,H1W 1S6,Bar,604.0,25.0,3.5,10,2
65f5707d61306518123222b4680bc282,Marché Maisonneuve,45.55321884238814,-73.53978216648102,6,Le Trèfle - Taverne Irlandaise,H1W 1T1,Pub,497.0,44.0,4.0,10,2
65f5707d61306518123222b4680bc282,Marché Maisonneuve,45.55321884238814,-73.53978216648102,6,Bar le Bureau,H1V 1Y1,Lounge,501.0,44.0,4.0,10,2
65f5707d61306518123222b4680bc282,Marché Maisonneuve,45.55321884238814,-73.53978216648102,6,Bar l'Assemblée,H1V 1Y3,Bar,519.0,44.0,4.0,10,2
65f5707d61306518123222b4680bc282,Marché Maisonneuve,45.55321884238814,-73.53978216648102,6,Taverne l'Escale,H1V 1Y6,Lounge,522.0,44.0,4.0,10,2
65f5707d61306518123222b4680bc282,Marché Maisonneuve,45.55321884238814,-73.53978216648102,6,Loupblond,H1V 1Z1,Bar,615.0,44.0,4.0,10,2
65f5707d61306518123222b4680bc282,Marché Maisonneuve,45.55321884238814,-73.53978216648102,6,Funki Munki,Unavailable,Sports Bar,729.0,44.0,4.0,10,2
65f5707d61306518123222b4680bc282,Marché Maisonneuve,45.55321884238814,-73.53978216648102,6,Brasserie de Lasalle Enr,H1V 1K2,Beer Garden,168.0,44.0,4.0,10,2
a7671fb398de9ac6bd6bc552b5323b7a,Parc Kent (de Kent / Hudson),45.5057209331225,-73.62945914268494,4,Bar Vegas Lounge,H3S 2B2,Bar,751.0,44.0,4.0,4,2
a7671fb398de9ac6bd6bc552b5323b7a,Parc Kent (de Kent / Hudson),45.5057209331225,-73.62945914268494,4,La Retenue,H3T 1Y8,Bar,848.0,1.0,4.0,4,1
a7671fb398de9ac6bd6bc552b5323b7a,Parc Kent (de Kent / Hudson),45.5057209331225,-73.62945914268494,4,Moist Club,H3S 1V8,Bar,583.0,44.0,4.0,4,2
a7671fb398de9ac6bd6bc552b5323b7a,Parc Kent (de Kent / Hudson),45.5057209331225,-73.62945914268494,4,La Retenue Bière et Amusement,Unavailable,Bar,856.0,44.0,4.0,4,2
0e58810dea9e4869279089cb8576642f,Rachel / de Brébeuf,45.52689,-73.57264,11,Pub Pit Caribou,H2J 2J4,Beer Bar,301.0,44.0,4.0,10,2
0e58810dea9e4869279089cb8576642f,Rachel / de Brébeuf,45.52689,-73.57264,11,Rouge Gorge,H2J 1Y1,Wine Bar,488.0,44.0,4.0,10,2
0e58810dea9e4869279089cb8576642f,Rachel / de Brébeuf,45.52689,-73.57264,11,Pub West Shefford,H2J 1Z2,Bar,584.0,44.0,4.0,10,2
0e58810dea9e4869279089cb8576642f,Rachel / de Brébeuf,45.52689,-73.57264,11,La Distillerie No2,H2H 1J7,Cocktail Bar,919.0,44.0,4.0,10,2
0e58810dea9e4869279089cb8576642f,Rachel / de Brébeuf,45.52689,-73.57264,11,Bar Plan B,H2T 1P8,Cocktail Bar,944.0,36.0,3.5,10,2
0e58810dea9e4869279089cb8576642f,Rachel / de Brébeuf,45.52689,-73.57264,11,Cafe-Bar le Boudoir,H2J 1X1,Cocktail Bar,637.0,44.0,4.0,10,2
0e58810dea9e4869279089cb8576642f,Rachel / de Brébeuf,45.52689,-73.57264,11,Barraca Rhumerie,H2J 1X8,Lounge,491.0,44.0,4.0,10,2
0e58810dea9e4869279089cb8576642f,Rachel / de Brébeuf,45.52689,-73.57264,11,Fitzroy,H2J 1W6,Pool Hall,747.0,45.0,3.0,10,2
0e58810dea9e4869279089cb8576642f,Rachel / de Brébeuf,45.52689,-73.57264,11,A Bar,H2W 1E4,Bar,954.0,44.0,4.0,10,2
0e58810dea9e4869279089cb8576642f,Rachel / de Brébeuf,45.52689,-73.57264,11,Aux Verres Stérilisés Inc,H2J 2H6,Lounge,479.0,44.0,4.0,10,2
5f87ab3bfe9c4289033da69a74957d0e,Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny),45.65140583915357,-73.50041270256041,4,Karaoke Maniac,H1A 0A1,Karaoke Bar,136.0,44.0,4.0,2,2
5f87ab3bfe9c4289033da69a74957d0e,Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny),45.65140583915357,-73.50041270256041,4,Bistro du Jardin,H1A 1R9,Bar,958.0,44.0,4.0,2,2
3cc8af25d891cb13e3301e4a612d0383,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,8,Cold Room,H2Y 1G8,Speakeasy,162.0,44.0,4.0,10,2
3cc8af25d891cb13e3301e4a612d0383,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,8,Terrasse Place d'Armes,H2Y 2X6,Hotel Bar,275.0,68.0,3.5,10,2
3cc8af25d891cb13e3301e4a612d0383,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,8,Modavie,H2Y 1Y6,Wine Bar,210.0,44.0,4.0,10,2
3cc8af25d891cb13e3301e4a612d0383,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,8,Perché,H2Y 1E7,Bar,174.0,42.0,3.5,10,3
3cc8af25d891cb13e3301e4a612d0383,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,8,Pub BreWskey,H2Y 1H2,Pub,376.0,44.0,4.0,10,2
3cc8af25d891cb13e3301e4a612d0383,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,8,Pub Wolf & Workman,H2Y 1Z5,Restaurant,388.0,44.0,4.0,10,2
3cc8af25d891cb13e3301e4a612d0383,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,8,Bar le Mal Nécessaire,H2Z 1J5,Cocktail Bar,499.0,44.0,4.0,10,2
3cc8af25d891cb13e3301e4a612d0383,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,8,Boho,H2Y 2T3,Cocktail Bar,443.0,44.0,4.0,10,2
3cc8af25d891cb13e3301e4a612d0383,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,8,Tommy,H2Y 1T3,Lounge,414.0,44.0,4.0,10,2
3cc8af25d891cb13e3301e4a612d0383,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,8,Cadet,H2X 2S8,Restaurant,814.0,113.0,4.5,10,3
dbe6f3be853e1100918aa06b6418eb86,U. Concordia - Campus Loyola (Sherbrooke / West Broadway),45.45750908083069,-73.6394852399826,17,The G-Lounge,H4B 1R6,College Cafeteria,102.0,44.0,4.0,2,2
dbe6f3be853e1100918aa06b6418eb86,U. Concordia - Campus Loyola (Sherbrooke / West Broadway),45.45750908083069,-73.6394852399826,17,Bar les Amazones,H4B 1V8,Night Club,900.0,44.0,4.0,2,2
d45cc49cea4480b9116b1363dcc5355d,Parc Labelle (LaSalle / Henri-Duhamel),45.47256100297732,-73.56998920440674,3,Messorem Bracitorium,H4E 4H2,Bar,916.0,44.0,4.0,7,2
d45cc49cea4480b9116b1363dcc5355d,Parc Labelle (LaSalle / Henri-Duhamel),45.47256100297732,-73.56998920440674,3,Bar Social Verdun,H4G 1V1,Bar,809.0,44.0,4.0,7,2
d45cc49cea4480b9116b1363dcc5355d,Parc Labelle (LaSalle / Henri-Duhamel),45.47256100297732,-73.56998920440674,3,LaChicRégal,H3K 1J9,Bar,655.0,44.0,4.0,7,2
d45cc49cea4480b9116b1363dcc5355d,Parc Labelle (LaSalle / Henri-Duhamel),45.47256100297732,-73.56998920440674,3,Taverne Regal,H3K 1J9,Bar,655.0,44.0,4.0,7,2
d45cc49cea4480b9116b1363dcc5355d,Parc Labelle (LaSalle / Henri-Duhamel),45.47256100297732,-73.56998920440674,3,Château St-Ambroise - le Club Privé,Unavailable,Karaoke Bar,818.0,44.0,4.0,7,2
d45cc49cea4480b9116b1363dcc5355d,Parc Labelle (LaSalle / Henri-Duhamel),45.47256100297732,-73.56998920440674,3,Club l'Espace,Unavailable,Bar,906.0,44.0,4.0,7,2
d45cc49cea4480b9116b1363dcc5355d,Parc Labelle (LaSalle / Henri-Duhamel),45.47256100297732,-73.56998920440674,3,Canal Lounge,H4C 3L8,Lounge,811.0,28.0,4.5,7,2
bfbe27bd89264f5821d6d0c7f0d2e765,des Ormeaux / de Grosbois,45.605901731906485,-73.53436946868896,0,Café Sunset,H1L 1E5,Cocktail Bar,310.0,44.0,4.0,3,2
bfbe27bd89264f5821d6d0c7f0d2e765,des Ormeaux / de Grosbois,45.605901731906485,-73.53436946868896,0,Café Bar Gypsy,H1L 1E8,Cocktail Bar,972.0,44.0,4.0,3,2
bfbe27bd89264f5821d6d0c7f0d2e765,des Ormeaux / de Grosbois,45.605901731906485,-73.53436946868896,0,Bar Salon Sherbrooke Est Enr,H1L 1C8,Bar,476.0,44.0,4.0,3,2
9f8b5a5097e54b755691624a27a320a0,Parc de la Confédération (Fielding / West Hill),45.47188199358608,-73.64002168178558,14,Bar Sora,H3X 2B6,Lounge,375.0,44.0,4.0,2,2
9f8b5a5097e54b755691624a27a320a0,Parc de la Confédération (Fielding / West Hill),45.47188199358608,-73.64002168178558,14,Placements Sergakis Inc,H4B 2P4,Bar,405.0,44.0,4.0,2,2
eeda0f4010f34ca2199f3585a76fef66,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,6,132 Bar Vintage,H3L 1T4,Cocktail Bar,810.0,44.0,4.0,10,2
eeda0f4010f34ca2199f3585a76fef66,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,6,Les Cavistes,H3L 1T5,Wine Bar,907.0,13.0,4.0,10,2
eeda0f4010f34ca2199f3585a76fef66,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,6,Uber Cafbar,H2C 1P8,Lounge,553.0,44.0,4.0,10,2
eeda0f4010f34ca2199f3585a76fef66,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,6,Bienvenu Bar Salon,H2C 1P5,Lounge,479.0,44.0,4.0,10,2
eeda0f4010f34ca2199f3585a76fef66,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,6,Bar Lajeunesse,H2C 1E2,Lounge,506.0,44.0,4.0,10,2
eeda0f4010f34ca2199f3585a76fef66,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,6,Bar Ahuntsic,H3L 2P7,Lounge,786.0,44.0,4.0,10,2
eeda0f4010f34ca2199f3585a76fef66,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,6,Le Rendez Vous du Thé,H2C 1R3,Bar,843.0,44.0,4.0,10,2
eeda0f4010f34ca2199f3585a76fef66,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,6,Le Pourvoyeur,H2C 1R8,Bar,992.0,2.0,4.0,10,2
eeda0f4010f34ca2199f3585a76fef66,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,6,In Vino Veritas,H3L 2G6,Wholesaler,155.0,44.0,4.0,10,2
eeda0f4010f34ca2199f3585a76fef66,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,6,Lanny Izakaya,Unavailable,Bar,593.0,44.0,4.0,10,2
1f96d87b02f5ddf8831c2d5f2473b0a8,Centre ÉPIC (St-Zotique / 40e avenue),45.57414703721992,-73.57462137937546,10,Café Bar Padula,H1T 1E1,Cocktail Bar,350.0,44.0,4.0,4,2
1f96d87b02f5ddf8831c2d5f2473b0a8,Centre ÉPIC (St-Zotique / 40e avenue),45.57414703721992,-73.57462137937546,10,Cafe Allegria,H1S 1L7,Bar,847.0,44.0,4.0,4,2
1f96d87b02f5ddf8831c2d5f2473b0a8,Centre ÉPIC (St-Zotique / 40e avenue),45.57414703721992,-73.57462137937546,10,Bar Café Sorrento Inc,H1S 1L6,Lounge,877.0,44.0,4.0,4,2
1f96d87b02f5ddf8831c2d5f2473b0a8,Centre ÉPIC (St-Zotique / 40e avenue),45.57414703721992,-73.57462137937546,10,Cafe Navaro,H1T 1V7,Cocktail Bar,347.0,44.0,4.0,4,2
9575da078eee4b025a4c319fc2347b0d,Bélanger / des Galeries d'Anjou,45.59722114932571,-73.56279015541077,17,Les 3 Brasseurs,H1M 2W2,Bar,178.0,101.0,3.5,5,2
9575da078eee4b025a4c319fc2347b0d,Bélanger / des Galeries d'Anjou,45.59722114932571,-73.56279015541077,17,La Belle & la Boeuf,H1M 1W9,Cocktail Bar,279.0,44.0,4.0,5,2
9575da078eee4b025a4c319fc2347b0d,Bélanger / des Galeries d'Anjou,45.59722114932571,-73.56279015541077,17,Souvlaki Bar - Saint-Léonard,H1S 1N1,Greek Restaurant,757.0,44.0,4.0,5,2
9575da078eee4b025a4c319fc2347b0d,Bélanger / des Galeries d'Anjou,45.59722114932571,-73.56279015541077,17,Quality Hotel Parc Olympique,H1J 2T2,Hotel Bar,781.0,44.0,4.0,5,2
