name,postcode,category,distance,latitude,longitude
Cadet,H2X 2S8,Restaurant,814.0,45.50714391928411,-73.55511903762817
The G-Lounge,H4B 1R6,College Cafeteria,102.0,45.45750908083069,-73.6394852399826
Bar les Amazones,H4B 1V8,Night Club,900.0,45.45750908083069,-73.6394852399826
Messorem Bracitorium,H4E 4H2,Bar,916.0,45.47256100297732,-73.56998920440674
Bar Social Verdun,H4G 1V1,Bar,809.0,45.47256100297732,-73.56998920440674
LaChicRégal,H3K 1J9,Bar,655.0,45.47256100297732,-73.56998920440674
Taverne Regal,H3K 1J9,Bar,655.0,45.47256100297732,-73.56998920440674
Château St-Ambroise - le Club Privé,,Karaoke Bar,818.0,45.47256100297732,-73.56998920440674
Club l'Espace,,Bar,906.0,45.47256100297732,-73.56998920440674
Canal Lounge,H4C 3L8,Lounge,811.0,45.47256100297732,-73.56998920440674
Café Sunset,H1L 1E5,Cocktail Bar,310.0,45.605901731906485,-73.53436946868896
Café Bar Gypsy,H1L 1E8,Cocktail Bar,972.0,45.605901731906485,-73.53436946868896
Bar Salon Sherbrooke Est Enr,H1L 1C8,Bar,476.0,45.605901731906485,-73.53436946868896
Bar Sora,H3X 2B6,Lounge,375.0,45.47188199358608,-73.64002168178558
Placements Sergakis Inc,H4B 2P4,Bar,405.0,45.47188199358608,-73.64002168178558
132 Bar Vintage,H3L 1T4,Cocktail Bar,810.0,45.5534000891078,-73.66225451231003
Les Cavistes,H3L 1T5,Wine Bar,907.0,45.5534000891078,-73.66225451231003
Uber Cafbar,H2C 1P8,Lounge,553.0,45.5534000891078,-73.66225451231003
Bienvenu Bar Salon,H2C 1P5,Lounge,479.0,45.5534000891078,-73.66225451231003
Bar Lajeunesse,H2C 1E2,Lounge,506.0,45.5534000891078,-73.66225451231003
Bar Ahuntsic,H3L 2P7,Lounge,786.0,45.5534000891078,-73.66225451231003
Le Rendez Vous du Thé,H2C 1R3,Bar,843.0,45.5534000891078,-73.66225451231003
Le Pourvoyeur,H2C 1R8,Bar,992.0,45.5534000891078,-73.66225451231003
In Vino Veritas,H3L 2G6,Wholesaler,155.0,45.5534000891078,-73.66225451231003
Lanny Izakaya,,Bar,593.0,45.5534000891078,-73.66225451231003
Café Bar Padula,H1T 1E1,Cocktail Bar,350.0,45.57414703721992,-73.57462137937546
Cafe Allegria,H1S 1L7,Bar,847.0,45.57414703721992,-73.57462137937546
Bar Café Sorrento Inc,H1S 1L6,Lounge,877.0,45.57414703721992,-73.57462137937546
Cafe Navaro,H1T 1V7,Cocktail Bar,347.0,45.57414703721992,-73.57462137937546
Les 3 Brasseurs,H1M 2W2,Bar,178.0,45.59722114932571,-73.56279015541077
La Belle & la Boeuf,H1M 1W9,Cocktail Bar,279.0,45.59722114932571,-73.56279015541077
Souvlaki Bar - Saint-Léonard,H1S 1N1,Greek Restaurant,757.0,45.59722114932571,-73.56279015541077
Quality Hotel Parc Olympique,H1J 2T2,Hotel Bar,781.0,45.59722114932571,-73.56279015541077
MontrealX VIP Concierge Bachelor Party Strippers,H1S 1N2,Bar,964.0,45.59722114932571,-73.56279015541077
Resto-Bar Lucky 7,H1Z 2E3,Bar,564.0,45.55984236120471,-73.61544728279114
Brasserie Chez le Pere Gedeon,H2A 3A5,Bar,791.0,45.55984236120471,-73.61544728279114
Brasserie Place 37,H1Z 3E7,Night Club,819.0,45.55984236120471,-73.61544728279114
Perandello Sport Bar,H1Z 1Y4,Sports Bar,947.0,45.55984236120471,-73.61544728279114
Cafe Navaro,H1T 1V7,Cocktail Bar,585.0,45.56833021674857,-73.56666326522826
Bar Zeffé,H8S 1Z7,Bar,260.0,45.43805550384184,-73.67273926734924
Mundial Bar & Grill,,Sports Bar,963.0,45.43805550384184,-73.67273926734924
Houblon et Cépages,,Wine Bar,386.0,45.43805550384184,-73.67273926734924
Bar Western Chez Marcel,H8S 2B2,Cocktail Bar,442.0,45.43805550384184,-73.67273926734924
Bar Liqueur,H8S 2B2,Bar,447.0,45.43805550384184,-73.67273926734924
Le Bird Bar,H3J 1M5,Bar,283.0,45.48918571608228,-73.57190027832984
Le Bureau Bar a Tapas,H3J 1M1,Cocktail Bar,347.0,45.48918571608228,-73.57190027832984
Le Vin Papillon,H3J 1N6,Wine Bar,767.0,45.48918571608228,-73.57190027832984
Burgundy Lion,H3J 1N5,Bar,751.0,45.48918571608228,-73.57190027832984
Upstairs Jazz Bar & Grill,H3G 2H4,Night Club,781.0,45.48918571608228,-73.57190027832984
Ye Olde Orchard Pub & Grill,H3G 1Z2,Pub,904.0,45.48918571608228,-73.57190027832984
