,fsq_id,categories,chains,distance,geocodes,link,location,name,related_places
3979,55634921498e57b144d55b38,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}, {'id': 13025, 'name': 'Wine Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/winery_', 'suffix': '.png'}}]",[],940,"{'drop_off': {'latitude': 45.470336, 'longitude': -73.590971}, 'main': {'latitude': 45.47048, 'longitude': -73.591115}, 'roof': {'latitude': 45.47048, 'longitude': -73.591115}}",/v3/places/55634921498e57b144d55b38,"{'address': '5001 Notre Dame Rue O', 'country': 'CA', 'cross_street': 'coin St-Rémi', 'formatted_address': '5001 Notre Dame Rue O (coin St-Rémi), Montréal QC H4C 1T2', 'locality': 'Montréal', 'postcode': 'H4C 1T2', 'region': 'QC'}",Le Bar Loic,{}
3986,51b51b9c498e2b4fa4048992,"[{'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13022, 'name': 'Sports Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_', 'suffix': '.png'}}]",[],474,"{'main': {'latitude': 45.570884, 'longitude': -73.751871}, 'roof': {'latitude': 45.570884, 'longitude': -73.751871}}",/v3/places/51b51b9c498e2b4fa4048992,"{'address': '3035 le Carref Blvd', 'country': 'CA', 'cross_street': '', 'formatted_address': '3035 le Carref Blvd, Laval QC H7T 1C8', 'locality': 'Laval', 'postcode': 'H7T 1C8', 'region': 'QC'}",La Cage - Brasserie Sportive,"{'parent': {'fsq_id': '4bd46d41637ba5931a9bf470', 'name': 'Carrefour Laval'}}"
3989,609013f6e271114c08200783,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13177, 'name': 'Greek Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/greek_', 'suffix': '.png'}}]",[],629,"{'main': {'latitude': 45.57147, 'longitude': -73.753687}, 'roof': {'latitude': 45.57147, 'longitude': -73.753687}}",/v3/places/609013f6e271114c08200783,"{'address': '3035 le Carref Blvd', 'country': 'CA', 'cross_street': '', 'formatted_address': '3035 le Carref Blvd, Laval QC H7T 1C8', 'locality': 'Laval', 'postcode': 'H7T 1C8', 'region': 'QC'}",Souvlaki Bar Express - Carrefour Laval,{}
4145,62388992446d46be5b028b97,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",[],526,"{'main': {'latitude': 45.540859, 'longitude': -73.629992}, 'roof': {'latitude': 45.540859, 'longitude': -73.629992}}",/v3/places/62388992446d46be5b028b97,"{'address': '230 Jarry Rue E', 'country': 'CA', 'formatted_address': '230 Jarry Rue E, Montreal QC H2P 1T5', 'locality': 'Montreal', 'postcode': 'H2P 1T5', 'region': 'QC'}",Brasserie Quebecoise,{}
4227,4bb1668af964a5200e913ce3,"[{'id': 13015, 'name': 'Karaoke Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/karaoke_', 'suffix': '.png'}}, {'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}, {'id': 13152, 'name': 'Brasserie', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}}]",[],851,"{'main': {'latitude': 45.613123, 'longitude': -73.45036}, 'roof': {'latitude': 45.613123, 'longitude': -73.45036}}",/v3/places/4bb1668af964a5200e913ce3,"{'address': '650 Blvd du Fort-Street-Louis', 'country': 'CA', 'formatted_address': '650 Blvd du Fort-Street-Louis, Boucherville QC J4B 1S9', 'locality': 'Boucherville', 'postcode': 'J4B 1S9', 'region': 'QC'}",Le Vieux,{}
4228,45b7c08bf42f44037c663a1a,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}]",[],518,"{'main': {'latitude': 45.61136, 'longitude': -73.456278}, 'roof': {'latitude': 45.61136, 'longitude': -73.456278}}",/v3/places/45b7c08bf42f44037c663a1a,"{'address': '536 Marie-Victorin Blvd', 'country': 'CA', 'formatted_address': '536 Marie-Victorin Blvd, Boucherville QC J4B 1W9', 'locality': 'Boucherville', 'postcode': 'J4B 1W9', 'region': 'QC'}",Paul C Bar,{}
4229,552c67fe498eaf680099499e,"[{'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13022, 'name': 'Sports Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_', 'suffix': '.png'}}]",[],319,"{'main': {'latitude': 45.570958, 'longitude': -73.446555}, 'roof': {'latitude': 45.570958, 'longitude': -73.446555}}",/v3/places/552c67fe498eaf680099499e,"{'address': '1180 Nobel Pl', 'country': 'CA', 'cross_street': '', 'formatted_address': '1180 Nobel Pl, Boucherville QC J4B 5L2', 'locality': 'Boucherville', 'postcode': 'J4B 5L2', 'region': 'QC'}",La Cage,{}
4230,d4414953502d41311ca3d679,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13022, 'name': 'Sports Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_', 'suffix': '.png'}}, {'id': 13031, 'name': 'Burger Joint', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burger_', 'suffix': '.png'}}]",[],321,"{'main': {'latitude': 45.570291, 'longitude': -73.44576}, 'roof': {'latitude': 45.570291, 'longitude': -73.44576}}",/v3/places/d4414953502d41311ca3d679,"{'address': '1165 Volta Rue', 'country': 'CA', 'formatted_address': '1165 Volta Rue, Boucherville QC J4B 7M7', 'locality': 'Boucherville', 'postcode': 'J4B 7M7', 'region': 'QC'}",La Belle et la Boeuf,{}
4236,791e31a1aaed448d62bd0f95,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",[],454,"{'main': {'latitude': 45.604465, 'longitude': -73.668276}, 'roof': {'latitude': 45.604465, 'longitude': -73.668276}}",/v3/places/791e31a1aaed448d62bd0f95,"{'address': '1119 Lesage Blvd', 'country': 'CA', 'formatted_address': '1119 Lesage Blvd, Laval QC H7E 4V4', 'locality': 'Laval', 'postcode': 'H7E 4V4', 'region': 'QC'}",Aac Achat d'Articles de Collection,{}
4285,157434279eba44ad8d503a3d,"[{'id': 10032, 'name': 'Night Club', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}}, {'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",[],812,"{'main': {'latitude': 45.542171, 'longitude': -73.616076}, 'roof': {'latitude': 45.542171, 'longitude': -73.616076}}",/v3/places/157434279eba44ad8d503a3d,"{'address': '7387 St Hubert Rue', 'country': 'CA', 'formatted_address': '7387 St Hubert Rue, Montreal QC H2R 2N4', 'locality': 'Montreal', 'postcode': 'H2R 2N4', 'region': 'QC'}",L'Orage Club,{}
4297,43ff0ee5da69428ba5e11866,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",[],326,"{'drop_off': {'latitude': 45.63125, 'longitude': -73.504199}, 'main': {'latitude': 45.631187, 'longitude': -73.504015}, 'roof': {'latitude': 45.631187, 'longitude': -73.504015}}",/v3/places/43ff0ee5da69428ba5e11866,"{'address': '11260 Dorchester', 'country': 'CA', 'formatted_address': '11260 Dorchester, Montreal QC', 'locality': 'Montreal', 'region': 'QC'}",Chanson,{}
4535,868de8ae45ab4d4ba41f1e71,"[{'id': 10045, 'name': 'Pool Hall', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/billiards_', 'suffix': '.png'}}, {'id': 13022, 'name': 'Sports Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],832,"{'drop_off': {'latitude': 45.546202, 'longitude': -73.536846}, 'main': {'latitude': 45.546337, 'longitude': -73.537056}, 'roof': {'latitude': 45.546337, 'longitude': -73.537056}}",/v3/places/868de8ae45ab4d4ba41f1e71,"{'address': '3871 Sainte-Catherine Rue E', 'country': 'CA', 'formatted_address': '3871 Sainte-Catherine Rue E, Montreal QC H1W 2G5', 'locality': 'Montreal', 'postcode': 'H1W 2G5', 'region': 'QC'}",Billard Eljumelgi,{}
4536,4c1bff9db306c928e92a63b7,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",[],480,"{'main': {'latitude': 45.590371, 'longitude': -73.430142}, 'roof': {'latitude': 45.590371, 'longitude': -73.430142}}",/v3/places/4c1bff9db306c928e92a63b7,"{'address': '1052 Lionel-Daunais Rue', 'country': 'CA', 'formatted_address': '1052 Lionel-Daunais Rue, Boucherville QC J4B 0B2', 'locality': 'Boucherville', 'postcode': 'J4B 0B2', 'region': 'QC'}",Club la Maison Blanche,{}
4555,195406a4d9324b2b54dd7a35,"[{'id': 10032, 'name': 'Night Club', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}}, {'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}]",[],869,"{'main': {'latitude': 45.525808, 'longitude': -73.474548}, 'roof': {'latitude': 45.525808, 'longitude': -73.474548}}",/v3/places/195406a4d9324b2b54dd7a35,"{'address': '75 Wilson Blvd', 'country': 'CA', 'formatted_address': '75 Wilson Blvd, Longueuil QC J4J 2W3', 'locality': 'Longueuil', 'postcode': 'J4J 2W3', 'region': 'QC'}",Club 75,{}
4583,597bf745033693058a6a4ba7,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}]",[],943,"{'main': {'latitude': 45.519635, 'longitude': -73.562237}, 'roof': {'latitude': 45.519635, 'longitude': -73.562237}}",/v3/places/597bf745033693058a6a4ba7,"{'address': '1840 Amherst Rue', 'country': 'CA', 'cross_street': '', 'formatted_address': '1840 Amherst Rue, Montréal QC H2L 3L6', 'locality': 'Montréal', 'postcode': 'H2L 3L6', 'region': 'QC'}",Ti-Agrikol,{}
4638,4bd21cc7462cb7138ca3db07,"[{'id': 13022, 'name': 'Sports Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_', 'suffix': '.png'}}]",[],915,"{'drop_off': {'latitude': 45.532956, 'longitude': -73.605974}, 'main': {'latitude': 45.533058, 'longitude': -73.606083}, 'roof': {'latitude': 45.533058, 'longitude': -73.606083}}",/v3/places/4bd21cc7462cb7138ca3db07,"{'address': '313 Beaubien Rue E', 'country': 'CA', 'cross_street': '', 'formatted_address': '313 Beaubien Rue E, Montréal QC H2S 1R9', 'locality': 'Montréal', 'postcode': 'H2S 1R9', 'region': 'QC'}",Bruno Sport Bar,{}
