cb_station_id,cb_station_name,cb_latitude,cb_longitude,cb_bike_num,name,postcode,category,distance,review_count,rating,price
2a20aa1c87cc30a2968fe04fe4e5b0df,Place Longueuil,45.52841043752244,-73.51716578006744,15,Brasserie du Passant Inc,J4K 2T4,Bar,507.0,,,
2a20aa1c87cc30a2968fe04fe4e5b0df,Place Longueuil,45.52841043752244,-73.51716578006744,15,Taverne Renaud,J4K 1C9,Bar,596.0,,,
734e36f9bfc759c9c5b1b9b44a85966e,Place du Commerce,45.46714,-73.54259,33,Suite 903,H3E 2A5,Speakeasy,548.0,,,
65f5707d61306518123222b4680bc282,Marché Maisonneuve,45.55321884238814,-73.53978216648102,22,Madame Smith,H1W 1T3,Lounge,370.0,5.0,3.5,
65f5707d61306518123222b4680bc282,Marché Maisonneuve,45.55321884238814,-73.53978216648102,22,L'Espace Public-Brasseurs de Quartier,H1W 1R7,Bar,926.0,,,
65f5707d61306518123222b4680bc282,Marché Maisonneuve,45.55321884238814,-73.53978216648102,22,Le Blind Pig,H1W 1S6,Bar,604.0,25.0,3.5,$$
65f5707d61306518123222b4680bc282,Marché Maisonneuve,45.55321884238814,-73.53978216648102,22,Le Trèfle - Taverne Irlandaise,H1W 1T1,Pub,497.0,,,
65f5707d61306518123222b4680bc282,Marché Maisonneuve,45.55321884238814,-73.53978216648102,22,Bar le Bureau,H1V 1Y1,Lounge,501.0,,,
65f5707d61306518123222b4680bc282,Marché Maisonneuve,45.55321884238814,-73.53978216648102,22,Bar l'Assemblée,H1V 1Y3,Bar,519.0,,,
65f5707d61306518123222b4680bc282,Marché Maisonneuve,45.55321884238814,-73.53978216648102,22,Taverne l'Escale,H1V 1Y6,Lounge,522.0,,,
65f5707d61306518123222b4680bc282,Marché Maisonneuve,45.55321884238814,-73.53978216648102,22,Loupblond,H1V 1Z1,Bar,615.0,,,
65f5707d61306518123222b4680bc282,Marché Maisonneuve,45.55321884238814,-73.53978216648102,22,Funki Munki,,Sports Bar,729.0,,,
65f5707d61306518123222b4680bc282,Marché Maisonneuve,45.55321884238814,-73.53978216648102,22,Brasserie de Lasalle Enr,H1V 1K2,Beer Garden,168.0,,,
a7671fb398de9ac6bd6bc552b5323b7a,Parc Kent (de Kent / Hudson),45.5057209331225,-73.62945914268494,27,Bar Vegas Lounge,H3S 2B2,Bar,751.0,,,
a7671fb398de9ac6bd6bc552b5323b7a,Parc Kent (de Kent / Hudson),45.5057209331225,-73.62945914268494,27,La Retenue,H3T 1Y8,Bar,848.0,1.0,4.0,$
a7671fb398de9ac6bd6bc552b5323b7a,Parc Kent (de Kent / Hudson),45.5057209331225,-73.62945914268494,27,Moist Club,H3S 1V8,Bar,583.0,,,
